STA,LON,LAT,ASSCM_SC,KAYEN_SC,ASSCM_VS,KAYEN_VS,USGS_VS,HVSR_VS,PWAVE_VS,ARRAY_VS
LM01,116.791399999999996,-34.395000000000003,CD,,360,nan,276,nan,nan,nan
AUKUL,118.152198999999996,-32.669701000000003,D,,270,nan,434,nan,nan,nan
AUALB,117.904601999999997,-34.999499999999998,CD,,360,nan,578,nan,nan,nan
NWA,117.233300000000000,-32.926600000000001,C,,560,nan,684,nan,nan,nan
NWAO,117.239000000000004,-32.927700000000002,C,,560,nan,692,1187,1122,351
CORR,117.705299999999994,-32.189200000000000,C,,560,nan,429,nan,nan,nan
RKG,117.010400000000004,-34.569800000000001,CD,,360,nan,508,nan,nan,nan
PIN,118.614300000000000,-33.516500000000001,CD,,360,nan,852,nan,nan,nan
CSY,110.528899999999993,-66.289400000000001,B,,1100,nan,nan,nan,nan,nan
RKGY,116.977300000000000,-34.609400000000001,C,,560,nan,429,959,746,481
LM03,116.929199999999994,-34.367699999999999,C,,560,nan,437,nan,nan,nan
CANM,116.128000000000000,-32.152000000000001,BC,,760,nan,843,nan,nan,nan
MAW,62.871600000000001,-67.606600000000000,B,,1100,nan,nan,nan,nan,nan
LM02,116.640500000000003,-34.492800000000003,C,,560,nan,589,nan,nan,nan
LM04,116.645600000000002,-34.338000000000001,C,,560,nan,605,nan,nan,nan
LM05,116.324900000000000,-34.383400000000002,C,,560,nan,637,nan,nan,nan
EPS,115.881000000000000,-31.945000000000000,DE,,180,nan,476,nan,nan,nan
AUMAZ,116.038398999999998,-32.006900999999999,C,,560,nan,925,nan,nan,nan
AUHAR,115.891197000000005,-33.092700999999998,CD,,360,nan,351,nan,nan,nan
AUBUS,115.382796999999997,-33.660099000000002,CD,,360,nan,322,nan,nan,nan
RAV2,120.796300000000002,-33.744900000000001,B,,1100,nan,694,nan,nan,nan
NOR11,122.089299999999994,-32.417900000000003,B,,1100,nan,410,nan,nan,nan
CA3,117.047799999999995,-30.510000000000002,BC,,760,nan,581,nan,nan,nan
K01,116.863799999999998,-31.024999999999999,CD,,360,nan,492,nan,nan,nan
CAA,117.150999999999996,-30.745999999999999,C,,560,nan,354,nan,nan,nan
KALJ,117.150999999999996,-30.745999999999999,C,,560,nan,354,nan,nan,nan
GOK,116.852000000000004,-31.338000000000001,B,,1100,nan,506,nan,nan,nan
KLB,117.760000000000005,-31.591699999999999,B,,1100,nan,870,nan,nan,nan
KLBR,117.754599999999996,-31.591500000000000,B,,1100,nan,905,nan,777,nan
MEEK,118.614000000000004,-26.638000000000002,C,,560,nan,286,534,696,nan
GOO,116.852000000000004,-31.393999999999998,BC,,760,nan,574,nan,nan,nan
BK3,117.296300000000002,-30.244399999999999,CD,,360,nan,417,nan,nan,nan
KOO3,117.344899999999996,-30.062100000000001,CD,,360,nan,548,nan,nan,nan
BK4,117.102599999999995,-30.474000000000000,B,,1100,nan,432,nan,nan,nan
DAM,116.871499999999997,-30.430399999999999,D,,270,nan,474,nan,nan,nan
BK2,116.942099999999996,-30.452400000000001,BC,,760,nan,582,nan,nan,nan
FAW,117.012400000000000,-30.328399999999998,D,,270,nan,478,nan,nan,nan
PIG2,116.791799999999995,-30.847600000000000,B,B,1100,1232,591,nan,1122,nan
K03,117.512500000000003,-30.637499999999999,CD,,360,nan,343,nan,nan,nan
MOR,117.088999999999999,-31.658999999999999,BC,,760,nan,588,nan,nan,nan
CMC,117.096400000000003,-30.791599999999999,D,C,270,474,384,nan,416,nan
K17,117.075400000000002,-30.757800000000000,D,,270,nan,395,nan,nan,nan
FLAT,117.147000000000006,-30.716999999999999,B,,1100,nan,477,nan,nan,nan
PIG,116.926199999999994,-30.570300000000000,CD,,360,nan,509,nan,nan,nan
PIG3,116.483699999999999,-30.315200000000001,CD,B,360,1101,232,nan,1017,nan
BAL,116.706699999999998,-30.606700000000000,BC,,760,nan,396,nan,nan,nan
BLDU,116.709100000000007,-30.611899999999999,BC,,760,nan,418,nan,1069,nan
BK5,117.121899999999997,-30.519400000000001,BC,C,760,565,514,nan,970,nan
K08,117.179199999999994,-30.679200000000002,CD,,360,nan,346,nan,nan,nan
BK8,117.219800000000006,-30.580300000000001,CD,,360,nan,449,nan,nan,nan
BK10,117.106899999999996,-30.486899999999999,CD,,360,nan,383,nan,nan,nan
BKN,117.126999999999995,-30.494000000000000,CD,,360,nan,366,nan,nan,nan
K04,117.160200000000003,-30.411799999999999,CD,,360,nan,307,nan,nan,nan
K20,117.183300000000003,-30.756699999999999,C,,560,nan,457,nan,nan,nan
NNO,116.256699999999995,-30.989999999999998,C,,560,nan,709,nan,nan,nan
K05,117.085800000000006,-30.673700000000000,D,,270,nan,358,nan,nan,nan
EMMO,117.123000000000005,-30.895000000000000,C,,560,nan,568,nan,nan,nan
K09,117.086900000000000,-30.702800000000000,CD,,360,nan,396,nan,nan,nan
K10,117.118300000000005,-30.703700000000001,CD,,360,nan,533,nan,nan,nan
K13,117.091300000000004,-30.721699999999998,CD,,360,nan,494,nan,nan,nan
K14,117.119799999999998,-30.730799999999999,CD,,360,nan,357,nan,nan,nan
CA2,117.217200000000005,-30.527400000000000,C,,560,nan,476,nan,nan,nan
KOO1,117.760000000000005,-30.649999999999999,B,,1100,nan,501,nan,nan,nan
CA1,117.144700000000000,-30.782399999999999,D,,270,nan,352,nan,nan,nan
K18,117.112300000000005,-30.758700000000001,D,,270,nan,431,nan,nan,nan
BK6,117.084999999999994,-30.516100000000002,BC,,760,nan,545,nan,nan,nan
K15,117.153000000000006,-30.725700000000000,D,,270,nan,389,nan,nan,nan
K16,117.187299999999993,-30.725700000000000,D,,270,nan,627,nan,nan,nan
MORW,116.038799999999995,-29.068300000000001,B,,1100,nan,440,nan,1088,nan
K11,117.148799999999994,-30.706700000000001,B,,1100,nan,626,nan,nan,nan
DOW,116.981999999999999,-31.010000000000002,B,,1100,nan,813,nan,nan,nan
BK1,116.997100000000003,-30.519500000000001,BC,,760,nan,515,nan,nan,nan
KOO2,116.998999999999995,-30.510000000000002,BC,,760,nan,510,nan,nan,nan
K06,117.114999999999995,-30.673700000000000,D,,270,nan,395,nan,nan,nan
BK9,116.980999999999995,-30.630199999999999,C,,560,nan,409,nan,nan,nan
CA4,117.092900000000000,-30.650800000000000,BC,,760,nan,528,nan,nan,nan
BK7,117.181500000000000,-30.459700000000002,CD,,360,nan,315,nan,nan,nan
K19,117.153300000000002,-30.756399999999999,CD,,360,nan,451,nan,nan,nan
MAN,117.148300000000006,-30.877500000000001,D,,270,nan,300,nan,nan,nan
MRWA,115.995999999999995,-29.218000000000000,D,,270,nan,343,nan,nan,nan
KOOL,119.486999999999995,-30.780999999999999,D,,270,nan,293,nan,nan,nan
K07,117.147000000000006,-30.672999999999998,C,,560,nan,486,nan,nan,nan
K02,117.358300000000000,-31.041699999999999,B,,1100,nan,438,nan,nan,nan
AUKAL,121.478897000000003,-30.763700000000000,D,,270,nan,472,nan,nan,nan
KLG,121.458299999999994,-30.783300000000001,D,,270,nan,420,nan,nan,nan
KLGA,121.438299999999998,-30.716699999999999,D,,270,nan,431,nan,nan,nan
KLGHS,121.473347000000004,-30.746267000000000,D,,270,nan,528,nan,nan,nan
KLGHH,121.752683000000005,-30.750014000000000,B,,1100,nan,381,nan,nan,nan
KMBL,121.890600000000006,-31.368200000000002,BC,,760,nan,462,547,1059,nan
MENZ,121.029399999999995,-29.694099999999999,BC,,760,nan,349,nan,nan,nan
TROP,121.029399999999995,-29.694099999999999,BC,,760,nan,349,nan,nan,nan
COOL,121.144999999999996,-30.883299999999998,BC,,760,nan,481,nan,nan,nan
KLGGI,121.761032999999998,-30.283214000000001,D,,270,nan,264,nan,nan,nan
COOLG,121.175899999999999,-30.959700000000002,B,,1100,nan,471,758,nan,nan
RAV1,120.600300000000004,-33.639899999999997,CD,,360,nan,344,nan,nan,nan
PIG4,116.166899999999998,-31.747900000000001,BC,,760,nan,900,nan,nan,nan
KPK,115.841999999999999,-31.960000000000001,D,,270,nan,873,nan,nan,nan
PER,115.839399999999998,-31.952700000000000,D,,270,nan,595,nan,nan,nan
MUN,116.208299999999994,-31.978300000000001,BC,,760,nan,775,nan,781,520
MTKN,115.773700000000005,-31.933299999999999,CD,,360,nan,543,nan,759,nan
CARL,115.926699999999997,-31.983499999999999,D,D,270,338,223,328,nan,370
NOR09,122.068600000000004,-32.383699999999997,D,,270,nan,363,nan,nan,nan
NOR10,122.618700000000004,-32.267899999999997,D,,270,nan,340,nan,nan,nan
NOR12,122.376400000000004,-32.405500000000004,D,,270,nan,318,nan,nan,nan
FORR,128.067299999999989,-30.799199999999999,CD,,360,nan,351,nan,nan,nan
FORT,128.058999999999997,-30.798999999999999,CD,,360,nan,340,309,671,nan
SVR,145.211669999999998,-41.488334999999999,BC,,760,nan,806,nan,nan,nan
AURSC,144.886596999999995,-38.368000000000002,D,,270,nan,344,nan,nan,nan
DVB,145.097700000000003,-38.287399999999998,BC,,760,nan,411,nan,nan,nan
DVBM,145.097700000000003,-38.287399999999998,BC,,760,nan,411,nan,nan,nan
DVBX,145.098000000000013,-38.286999999999999,BC,,760,nan,400,nan,nan,nan
DRO,144.996900000000011,-38.359499999999997,B,,1100,nan,872,nan,nan,nan
DROM,144.959787000000006,-38.348212500000002,B,,1100,nan,905,nan,nan,nan
COL,143.663999999999987,-38.356000000000002,CD,,360,nan,436,nan,nan,nan
FRT,143.715959999999995,-38.533760000000001,B,,1100,nan,888,nan,nan,nan
FRTM,143.716000000000008,-38.533999999999999,B,,1100,nan,889,nan,nan,nan
BANM,144.250000000000000,-38.052000000000000,B,,1100,nan,411,nan,nan,nan
GLB,144.249799999999993,-38.051499999999997,B,,1100,nan,422,nan,nan,nan
GEXS,144.289993000000010,-38.200802000000003,CD,,360,nan,772,380,666,nan
HBG,144.305869999999999,-38.186199999999999,CD,,360,nan,860,nan,nan,nan
PYV,143.284199999999998,-38.365000000000002,B,,1100,nan,206,nan,nan,nan
GEAM,144.389000000000010,-38.152999999999999,E,,140,nan,516,nan,nan,nan
AUKSC,145.158400999999998,-37.968398999999998,E,,140,nan,474,nan,nan,nan
MIKA,145.181150000000002,-40.878059999999998,BC,,760,nan,628,nan,nan,nan
KHC,136.911100000000005,-35.982500000000002,CD,,360,nan,687,nan,nan,nan
AUMAG,144.748199000000000,-36.101601000000002,CD,,360,nan,229,100,nan,nan
HOP,144.204579999999993,-35.996380000000002,B,,1100,nan,619,nan,nan,nan
HOPM,144.204579999999993,-35.996380000000002,B,,1100,nan,619,nan,nan,nan
BDAY,141.858699999999999,-35.890900000000002,D,,270,nan,236,nan,nan,nan
ARPS,141.838300000000004,-36.769900000000000,D,,270,nan,926,nan,873,nan
MGBR,140.572800000000001,-37.726298999999997,CD,,360,nan,909,429,900,nan
MGR,140.571822999999995,-37.728298000000002,CD,,360,nan,928,nan,nan,nan
MGR,140.571822999999995,-37.728298000000002,CD,,360,nan,928,nan,nan,nan
MGR2,140.686499999999995,-37.800100000000000,CD,,360,nan,816,nan,nan,nan
PMG2,140.685000000000002,-37.798999999999999,CD,,360,nan,784,nan,nan,nan
GEX,140.825099999999992,-37.073500000000003,C,,560,nan,343,nan,nan,nan
LAKY,144.035770000000014,-36.901370000000000,D,,270,nan,717,nan,nan,nan
ROK,141.955000000000013,-37.241999999999997,B,,1100,nan,354,nan,nan,nan
ROKM,141.955000000000013,-37.241999999999997,B,,1100,nan,354,nan,nan,nan
ROKL,141.956760000000003,-37.233289999999997,B,,1100,nan,336,nan,nan,nan
BRD,144.099410000000006,-36.891889999999997,B,,1100,nan,657,nan,nan,nan
BRDY,144.096810000000005,-36.891150000000003,B,,1100,nan,663,nan,nan,nan
ROCK,144.051150000000007,-36.892290000000003,B,,1100,nan,467,nan,nan,nan
TOP,144.095679999999987,-36.895640000000000,B,,1100,nan,630,nan,nan,nan
CCR,143.972000000000008,-36.991000000000000,B,,1100,nan,433,nan,nan,nan
CCRM,143.972000000000008,-36.991000000000000,B,,1100,nan,433,nan,nan,nan
CCRS,143.972170000000006,-36.990630000000003,B,,1100,nan,438,nan,nan,nan
CRN,143.972000000000008,-36.991000000000000,B,,1100,nan,433,nan,nan,nan
CRD,143.972170000000006,-36.990630000000003,B,,1100,nan,438,nan,nan,nan
AUMTC,143.877105999999998,-37.608898000000003,CD,,360,nan,864,nan,nan,nan
MAC,144.691020000000009,-37.430280000000003,BC,,760,nan,915,nan,nan,nan
MACM,144.691020000000009,-37.430280000000003,BC,,760,nan,915,nan,nan,nan
MACS,144.691020000000009,-37.430280000000003,BC,,760,nan,915,nan,nan,nan
MPD,144.906399999999991,-37.768900000000002,D,,270,nan,614,nan,nan,nan
MPDM,144.906399999999991,-37.768900000000002,D,,270,nan,614,nan,nan,nan
GOG,142.399579999999986,-36.888230000000000,D,,270,nan,900,nan,nan,nan
GOGM,142.399579999999986,-36.888230000000000,D,,270,nan,900,nan,nan,nan
GVD,144.900620000000004,-37.618620000000000,D,,270,nan,889,nan,nan,nan
GVL,144.900620000000004,-37.618620000000000,D,B,270,1265,801,nan,1168,nan
GVLM,144.900620000000004,-37.618620000000000,D,,270,nan,889,nan,nan,nan
GVL,144.899000000000001,-37.621400000000001,BC,B,760,1265,801,nan,1168,nan
PEG,144.089940000000013,-36.984259999999999,B,,1100,nan,682,nan,nan,nan
BFD,142.544399999999996,-37.176099999999998,D,,270,nan,767,nan,nan,nan
JOHN,144.086070000000007,-36.872199999999999,BC,,760,nan,415,nan,nan,nan
COMY,143.831989999999990,-36.972459999999998,CD,,360,nan,295,nan,nan,nan
ROW,144.291799999999995,-37.806100000000001,B,,1100,nan,900,nan,nan,nan
ROWM,144.291799999999995,-37.806100000000001,B,,1100,nan,900,nan,nan,nan
MEM,144.496129999999994,-37.635759999999998,B,,1100,nan,563,nan,nan,nan
TOD,144.497000000000014,-37.637000000000000,B,,1100,nan,618,nan,nan,nan
PCV,144.931600000000003,-37.729999999999997,BC,,760,nan,666,nan,nan,nan
SRCHQ,145.011400000000009,-37.818899999999999,BC,,760,nan,365,nan,nan,nan
HUTY,144.136230000000012,-36.891219999999997,B,,1100,nan,668,nan,nan,nan
BUC,143.498099999999994,-36.238430000000001,BC,,760,nan,908,nan,nan,nan
BUCM,143.498099999999994,-36.238430000000001,BC,,760,nan,908,nan,nan,nan
GLL,143.395600000000002,-36.138199999999998,CD,,360,nan,223,nan,nan,nan
GLLA,143.404879999999991,-36.140309999999999,CD,,360,nan,229,nan,nan,nan
MTRD,145.543599999999998,-41.846400000000003,B,,1100,nan,900,nan,nan,nan
MARG,145.551620000000014,-41.999519999999997,CD,,360,nan,901,nan,nan,nan
HEX,142.777999999999992,-37.927999999999997,BC,,760,nan,596,nan,nan,nan
HEXM,142.777999999999992,-37.927999999999997,BC,,760,nan,596,nan,nan,nan
AUHPC,142.318297999999999,-38.106800000000000,B,,1100,nan,661,nan,nan,nan
MLBS,144.894370000000009,-37.829149999999998,BC,,760,nan,373,267,nan,nan
MEL,144.973299999999995,-37.831699999999998,CD,,360,nan,357,nan,nan,nan
BRAT,143.931000000000012,-37.549999999999997,D,,270,nan,680,888,1102,nan
BRAT,143.932998999999995,-37.548901000000001,D,,270,nan,680,888,1102,nan
ROY,145.288540000000012,-37.639859999999999,B,,1100,nan,921,nan,nan,nan
ROYM,145.288540000000012,-37.639859999999999,B,,1100,nan,921,nan,nan,nan
POAT,146.902860000000004,-41.829099999999997,BC,,760,nan,900,nan,nan,nan
MCQ,158.956600000000009,-54.498300000000000,B,,1100,nan,nan,nan,nan,nan
MOO,147.190001999999993,-42.441668999999997,B,,1100,nan,900,1166,1102,nan
LEAH,146.451410000000010,-42.303328999999998,B,,1100,nan,920,nan,nan,nan
TRR,146.449996999999996,-42.303328999999998,B,,1100,nan,933,nan,nan,nan
SCOT,146.301649999999995,-43.030949999999997,BC,,760,nan,747,nan,nan,nan
SPK,146.275009000000011,-43.038330000000002,BC,,760,nan,791,nan,nan,nan
JEER,146.416969999999992,-38.347580000000001,C,,560,nan,900,nan,nan,nan
BSFN,146.212099999999992,-38.450409999999998,B,,1100,nan,749,nan,nan,nan
BSY,146.296999999999997,-38.444899999999997,B,,1100,nan,889,nan,nan,nan
MOE4,146.102000000000004,-38.241000000000000,C,,560,nan,909,nan,nan,nan
FSH,145.999599999999987,-38.756500000000003,D,,270,nan,374,nan,nan,nan
FSHM,145.999599999999987,-38.756500000000003,D,B,270,865,374,nan,714,nan
FSK,145.994100000000003,-38.753000000000000,D,,270,nan,374,nan,nan,nan
FSK,145.999599999999987,-38.756500000000003,D,,270,nan,374,nan,nan,nan
SGTH,145.904609999999991,-38.638080000000002,BC,,760,nan,735,nan,nan,nan
CRJN,146.703399999999988,-38.429099999999998,B,,1100,nan,904,1435,nan,1040
JEN,146.419759999999997,-38.350690000000000,B,,1100,nan,900,nan,nan,nan
JENM,146.419759999999997,-38.350690000000000,B,,1100,nan,900,nan,nan,nan
KORUM,145.850999999999999,-38.405999999999999,B,,1100,nan,742,nan,nan,nan
MTLY,146.556549999999987,-38.392740000000003,B,,1100,nan,900,nan,nan,nan
SBCH,146.098000000000013,-38.436000000000000,B,,1100,nan,829,nan,nan,nan
SMBT,146.301289999999995,-38.599750000000000,B,,1100,nan,900,nan,nan,nan
TMP3,145.754999999999995,-38.354999999999997,B,,1100,nan,668,nan,nan,nan
SBSV,146.297580000000011,-38.427869999999999,C,,560,nan,930,nan,nan,nan
AUSSC,147.082504000000000,-38.097698000000001,D,,270,nan,232,nan,nan,nan
MOE3,146.312000000000012,-38.183000000000000,C,,560,nan,834,nan,nan,nan
MTL,146.564200000000000,-38.401499999999999,B,,1100,nan,900,nan,nan,nan
MTLM,146.564200000000000,-38.401499999999999,B,,1100,nan,900,nan,nan,nan
MTLX,146.563999999999993,-38.402000000000001,B,,1100,nan,900,nan,nan,nan
MTLZ,146.570500000000010,-38.413100000000000,B,,1100,nan,851,nan,nan,nan
MTV,146.564999999999998,-38.401699999999998,B,,1100,nan,900,nan,nan,nan
THOP,146.169999999999987,-38.285600000000002,B,,1100,nan,760,nan,nan,nan
TYR,146.435399999999987,-38.108300000000000,B,,1100,nan,909,nan,nan,nan
MDRM,146.378999999999991,-38.098999999999997,B,,1100,nan,952,nan,nan,nan
MOON,146.389000000000010,-38.091000000000001,B,,1100,nan,729,nan,nan,nan
GLAD,148.020000000000010,-40.969999999999999,C,,560,nan,787,nan,816,nan
AUBRN,145.868378000000007,-41.040520000000001,CD,,360,nan,876,nan,nan,nan
AUPKL,145.901061999999996,-41.080871999999999,B,,1100,nan,851,nan,nan,nan
AULHS,147.214996000000014,-41.251899999999999,D,,270,nan,752,nan,nan,nan
SFF,146.307500000000005,-41.337499999999999,C,,560,nan,417,nan,nan,nan
GEES,147.123600000000010,-41.445300000000003,B,,1100,nan,903,nan,nan,nan
CORO,147.145000000000010,-41.452199999999998,D,,270,nan,858,215,nan,nan
CLAW,146.182999999999993,-41.491999999999997,B,,1100,nan,900,nan,nan,nan
MTCL,146.182999999999993,-41.491999999999997,B,,1100,nan,900,nan,nan,nan
LMT,146.151700000000005,-41.609999999999999,B,,1100,nan,900,nan,nan,nan
SAV,147.188899999999990,-41.720799999999997,B,,1100,nan,643,nan,nan,nan
GORD,146.053328999999991,-42.751663000000001,B,,1100,nan,638,nan,nan,nan
STG,146.053328999999991,-42.751663000000001,B,,1100,nan,903,nan,nan,nan
FNT,147.353610000000003,-42.926499999999997,B,,1100,nan,918,nan,nan,nan
NELS,147.332590000000010,-42.927079999999997,B,,1100,nan,900,nan,nan,nan
TAU,147.320007000000004,-42.910004000000001,B,,1100,nan,902,nan,nan,nan
AUTAR,147.355103000000014,-42.942501000000000,C,,560,nan,700,nan,nan,nan
RNDA,149.081700000000012,-35.258299999999998,B,,1100,nan,520,nan,nan,nan
JIN,148.593099999999993,-36.439399999999999,B,,1100,nan,900,nan,nan,nan
GEE,148.182500000000005,-36.419699999999999,BC,,760,nan,900,nan,nan,nan
AUSIS,149.114699999999999,-35.283901000000000,B,,1100,nan,525,nan,nan,nan
GGD,149.264000000000010,-35.424999999999997,BC,,760,nan,443,nan,nan,nan
BMB,149.097000000000008,-35.277999999999999,B,,1100,nan,915,nan,nan,nan
TAO,148.290008999999998,-35.595001000000003,BC,,760,nan,896,nan,nan,nan
KBH,149.080000000000013,-35.390000000000001,BC,,760,nan,917,nan,nan,nan
BEMB,149.578000000000003,-36.576000000000001,BC,,760,nan,899,nan,nan,nan
KHA,148.128342000000004,-36.213337000000003,B,,1100,nan,922,nan,nan,nan
MR2A,148.180000000000007,-36.243000000000002,B,,1100,nan,900,nan,nan,nan
MR2D,148.181000000000012,-36.244000000000000,B,,1100,nan,900,nan,nan,nan
SBR,149.533324999999991,-35.425007000000001,B,,1100,nan,900,nan,nan,nan
AUSMG,148.608397999999994,-36.416100000000000,BC,,760,nan,899,nan,nan,nan
AUMHS,149.088806000000005,-35.363498999999997,D,,270,nan,723,nan,nan,nan
AUMTS,148.996398999999997,-35.318801999999998,BC,,760,nan,901,nan,nan,nan
CAN,148.998322000000002,-35.320000000000000,BC,,760,nan,859,nan,nan,nan
CAB,148.443099999999987,-35.926699999999997,BC,,760,nan,932,nan,nan,nan
CORA,148.838600000000014,-35.536700000000003,B,,1100,nan,924,nan,nan,nan
CORT,148.837299999999999,-35.536400000000000,B,,1100,nan,918,nan,nan,nan
MILA,149.155000000000001,-37.054699999999997,D,,270,nan,536,nan,655,nan
GOOG,149.258000000000010,-35.423000000000002,B,,1100,nan,919,nan,nan,nan
COTT,148.919999999999987,-35.320000000000000,BC,,760,nan,744,nan,nan,nan
DRA,147.375429999999994,-35.965429999999998,BC,B,760,1148,909,nan,nan,nan
DRAM,147.375429999999994,-35.965429999999998,BC,,760,nan,909,nan,947,nan
ASC,149.139000000000010,-35.289000000000001,B,,1100,nan,578,nan,nan,nan
AUDAR,149.137695000000008,-35.252997999999998,B,,1100,nan,354,nan,nan,nan
TPND,148.389999999999986,-35.963000000000001,BC,,760,nan,752,nan,nan,nan
CBR,148.393340999999992,-35.943333000000003,BC,,760,nan,897,nan,nan,nan
PHB,149.122999999999990,-35.310000000000002,BC,,760,nan,697,nan,nan,nan
SYM,149.156800000000004,-35.344799999999999,BC,,760,nan,560,nan,nan,nan
TOO,145.490000000000009,-37.571700000000000,B,B,1100,981,900,nan,1051,nan
TOOL,145.490000000000009,-37.571700000000000,B,,1100,nan,900,nan,nan,nan
TAHH,146.106099999999998,-36.774700000000003,BC,,760,nan,900,nan,nan,nan
TAT,146.106099999999998,-36.774700000000003,BC,,760,nan,900,nan,nan,nan
TATM,146.106099999999998,-36.774700000000003,BC,,760,nan,900,nan,nan,nan
MCV,145.898670000000010,-37.690849999999998,BC,,760,nan,900,nan,nan,nan
BRIG,147.057600000000008,-37.756500000000003,B,,1100,nan,906,nan,nan,945
IVS,147.068140000000000,-36.133789999999998,BC,,760,nan,596,nan,nan,nan
IVSM,147.068140000000000,-36.133789999999998,BC,,760,nan,596,nan,nan,nan
TAMG,146.067200000000014,-36.756200000000000,BC,,760,nan,901,nan,nan,nan
TADB,146.140500000000003,-36.797800000000002,B,,1100,nan,902,nan,nan,nan
GLM,146.799000000000007,-37.902000000000001,B,,1100,nan,609,nan,nan,nan
GLMM,146.799000000000007,-37.902000000000001,B,B,1100,948,609,nan,840,nan
POL,145.801040000000000,-37.626359999999998,B,,1100,nan,915,nan,nan,nan
TASC,146.064200000000000,-36.782100000000000,B,,1100,nan,905,nan,nan,nan
TACO,146.121199999999988,-36.751399999999997,B,,1100,nan,901,nan,nan,nan
MEG,150.036652000000004,-35.100670000000001,BC,,760,nan,945,nan,nan,nan
AUUHS,150.469604000000004,-35.358898000000003,D,,270,nan,670,nan,nan,nan
DTM,147.468600000000009,-36.529310000000002,B,C,1100,659,880,nan,nan,nan
DTMS,147.468600000000009,-36.529310000000002,B,,1100,nan,880,nan,nan,nan
DTMM,147.468600000000009,-36.529310000000002,B,,1100,nan,880,nan,nan,nan
TMA,146.397199999999998,-37.844020000000000,OTHER,,nan,nan,900,nan,nan,nan
TMD,146.400059999999996,-37.842329999999997,OTHER,,nan,nan,900,nan,nan,nan
TMT,146.395659999999992,-37.843559999999997,OTHER,,nan,nan,900,nan,nan,nan
DDC,147.524110000000007,-36.560850000000002,OTHER,,nan,nan,900,nan,nan,nan
DDCM,147.524110000000007,-36.560850000000002,OTHER,,nan,nan,900,nan,nan,nan
MAL,146.291857999999991,-37.749053000000004,B,,1100,nan,535,nan,nan,nan
BUV,148.168299999999988,-37.498300000000000,BC,,760,nan,857,nan,nan,nan
BOV,147.226699999999994,-36.808300000000003,B,,1100,nan,900,nan,nan,nan
ABE,146.389012000000008,-37.719352000000001,D,,270,nan,875,nan,nan,nan
ABEM,146.389012000000008,-37.719352000000001,D,,270,nan,875,nan,nan,nan
BUCN,148.090000000000003,-37.506000000000000,BC,,760,nan,901,nan,nan,nan
BUCHN,148.096100000000007,-37.529200000000003,BC,,760,nan,827,nan,nan,nan
MSB,146.292300000000012,-37.742100000000001,B,,1100,nan,888,nan,nan,nan
SIN,146.292000000000002,-37.738999999999997,B,,1100,nan,928,nan,nan,nan
LGT,147.463580000000007,-36.763260000000002,B,C,1100,458,772,nan,nan,nan
LGTM,147.463580000000007,-36.763260000000002,B,,1100,nan,772,nan,nan,nan
NAR,147.844809999999995,-36.430230000000002,BC,,760,nan,911,nan,nan,nan
NARM,147.844809999999995,-36.430230000000002,BC,,760,nan,911,nan,nan,nan
DDB,147.511470000000003,-36.557769999999998,B,,1100,nan,900,nan,nan,nan
DDBM,147.511470000000003,-36.557769999999998,B,,1100,nan,900,nan,nan,nan
STN,146.562180000000012,-37.885069999999999,BC,,760,nan,718,nan,nan,nan
FRZ,147.093889999999988,-37.037489999999998,BC,,760,nan,891,nan,nan,nan
LICO,146.647240000000011,-37.671430000000001,B,,1100,nan,841,nan,nan,nan
MIT,147.658710000000013,-36.731710000000000,B,,1100,nan,907,nan,nan,nan
MITM,147.658710000000013,-36.731710000000000,B,,1100,nan,907,nan,nan,nan
DRT,147.491623000000004,-36.583347000000003,B,,1100,nan,900,nan,nan,nan
BIG,147.039009999999990,-37.461630000000000,BC,,760,nan,859,nan,nan,nan
MLW,145.510500000000008,-37.136800000000001,B,,1100,nan,899,nan,nan,nan
MLWM,145.510500000000008,-37.136800000000001,B,,1100,nan,899,nan,nan,nan
LIL,145.342391999999990,-37.693581999999999,D,,270,nan,428,nan,nan,nan
KGD,145.269366999999988,-37.698793999999999,BC,,760,nan,475,nan,nan,nan
PND,145.270882999999998,-37.634591999999998,BC,,760,nan,925,nan,nan,nan
BEL,146.378399999999999,-37.761099999999999,BC,,760,nan,900,nan,nan,nan
PAT,146.455571999999989,-37.857253000000000,BC,,760,nan,901,nan,nan,nan
PTA,146.455571999999989,-37.857253000000000,BC,,760,nan,901,nan,nan,nan
TOS,146.405730000000005,-37.824280000000002,BC,,760,nan,888,nan,nan,nan
LOG,146.340110000000010,-37.792389999999997,B,,1100,nan,900,nan,nan,nan
MIC,146.359388999999993,-37.903343999999997,B,,1100,nan,900,nan,nan,nan
TOMM,146.349690000000010,-37.808529999999998,B,C,1100,710,900,nan,859,nan
TOM,146.349690000000010,-37.808529999999998,B,,1100,nan,900,nan,nan,nan
ADE,138.713600000000014,-34.966999999999999,B,,1100,nan,908,nan,nan,nan
ADE,138.713600000000014,-34.966999999999999,B,,1100,nan,908,nan,nan,nan
TWOA,138.579299999999989,-35.031300000000002,B,,1100,nan,914,nan,nan,nan
PDA,137.238900000000001,-35.805900000000001,CD,,360,nan,336,nan,nan,nan
BOGA,143.575299999999999,-35.546999999999997,BC,,760,nan,299,nan,nan,nan
PTP,137.992999999999995,-33.173299999999998,DE,,180,nan,240,nan,nan,nan
