STA,LON,LAT,ASSCM_SC,KAYEN_SC,ASSCM_VS,KAYEN_VS,USGS_VS,HVSR_VS,PWAVE_VS,ARRAY_VS
ASR12,138.685599999999994,-28.011800000000001,B,,1100,nan,237,nan,nan,nan
SD06,135.902099999999990,-28.496300000000002,B,,1100,nan,288,nan,nan,nan
BL22,134.406540000000007,-28.997760000000000,D,,270,nan,249,nan,nan,nan
ARKL,139.338999999999999,-30.276000000000000,B,,1100,nan,890,nan,nan,nan
SOC13,139.733020000000010,-29.894449999999999,B,,1100,nan,443,nan,nan,nan
BL21,134.162759999999992,-27.930730000000001,CD,,360,nan,297,nan,nan,nan
SOC10,137.062410000000000,-29.711919999999999,BC,,760,nan,308,nan,nan,nan
TL13,137.882700000000000,-29.726700000000001,B,,1100,nan,412,nan,nan,nan
SOC12,138.677459999999996,-31.091030000000000,B,,1100,nan,608,nan,nan,nan
ASR07,136.018799999999999,-30.013100000000001,D,,270,nan,228,nan,nan,nan
TL12,135.596800000000002,-27.634200000000000,B,,1100,nan,319,nan,nan,nan
TL10,142.476900000000001,-27.360900000000001,C,,560,nan,344,nan,nan,nan
AQTK1,141.782199999999989,-27.305900000000001,CD,,360,nan,374,nan,nan,nan
AQTJ2,142.372399999999999,-27.137499999999999,BC,,760,nan,327,nan,nan,nan
AQTJ1,141.548800000000000,-26.826400000000000,D,,270,nan,264,nan,nan,nan
SOC11,138.026389999999992,-31.970510000000001,D,,270,nan,876,nan,nan,nan
SOC09,137.061229999999995,-31.669210000000000,D,,270,nan,236,nan,nan,nan
BL25,135.090939999999989,-32.145890000000001,CD,,360,nan,537,nan,nan,nan
SD10,136.065699999999993,-32.843600000000002,CD,,360,nan,447,nan,nan,nan
SOC16,140.793489999999991,-31.593100000000000,CD,,360,nan,236,nan,nan,nan
TL17,139.571899999999999,-31.657100000000000,CD,,360,nan,234,nan,nan,nan
SOC14,139.810540000000003,-31.386936670000001,CD,,360,nan,249,nan,nan,nan
MUR03,145.080800000000011,-33.976799999999997,DE,,180,nan,190,nan,nan,nan
MUR02,145.598569999999995,-32.931649999999998,D,,270,nan,952,nan,nan,nan
E2F1,145.598800000000011,-32.932099999999998,D,,270,nan,944,nan,nan,nan
E2F3,147.857300000000009,-32.884799999999998,B,,1100,nan,311,nan,nan,nan
E2F2,146.744900000000001,-32.875599999999999,D,,270,nan,236,nan,nan,nan
E2E8,149.440300000000008,-32.452199999999998,B,,1100,nan,711,nan,nan,nan
