,PAZ_FILE,SAMPLING_RATE,PAZ_CRN_FREQ,REV_CHA
151,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
152,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
153,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
155,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
156,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
157,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
158,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
159,../inputs/paz/hsa-3.paz,100.0,0.0,HNE
160,../inputs/paz/hsa-3.paz,100.0,0.0,HNN
161,../inputs/paz/hsa-3.paz,100.0,0.0,HNZ
165,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
166,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
167,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
168,../inputs/paz/hsa-3.paz,100.0,0.0,HNE
169,../inputs/paz/hsa-3.paz,100.0,0.0,HNN
170,../inputs/paz/hsa-3.paz,100.0,0.0,HNZ
171,../inputs/paz/sts1.paz,1.0,0.02,NOPEHE
172,../inputs/paz/sts1.paz,0.1,0.02,NOPEHE
173,../inputs/paz/sts1.paz,1.0,0.02,NOPEHN
174,../inputs/paz/sts1.paz,0.1,0.02,NOPEHN
175,../inputs/paz/sts1.paz,1.0,0.02,NOPEHZ
176,../inputs/paz/sts1.paz,0.1,0.02,NOPEHZ
177,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
178,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
179,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
184,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHE
185,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHN
186,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHZ
187,../inputs/paz/cmg-3t-120s.paz,20.0,0.01,BHZ
188,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHZ
189,../inputs/paz/willmore.paz,20.0,0.99,SHZ
193,../inputs/paz/s6000-2hz.paz,250.0,1.84,DHE
194,../inputs/paz/s6000-2hz.paz,250.0,1.84,DHN
195,../inputs/paz/s6000-2hz.paz,250.0,1.84,DHZ
196,../inputs/paz/s6000-2hz.paz,200.0,1.84,EHE
197,../inputs/paz/s6000-2hz.paz,200.0,1.84,EHN
198,../inputs/paz/s6000-2hz.paz,200.0,1.84,EHZ
199,../inputs/paz/s6000-2hz.paz,200.0,1.84,EHE
200,../inputs/paz/s6000-2hz.paz,200.0,1.84,EHN
201,../inputs/paz/s6000-2hz.paz,200.0,1.84,EHZ
202,../inputs/paz/mark-L4C-3D.paz,200.0,0.99,EHE
203,../inputs/paz/mark-L4C-3D.paz,200.0,0.99,EHN
204,../inputs/paz/mark-L4C-3D.paz,200.0,0.99,EHZ
205,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHE
206,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHN
207,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHZ
208,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
209,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
210,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
211,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
212,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
213,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
214,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHE
215,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHN
216,../inputs/paz/cmg-3t-100s.paz,20.0,0.01,BHZ
217,../inputs/paz/cmg-3t-120s.paz,20.0,0.01,BHE
218,../inputs/paz/cmg-3t-120s.paz,20.0,0.01,BHN
219,../inputs/paz/cmg-3t-120s.paz,20.0,0.01,BHZ
246,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
247,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
248,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
249,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
250,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
251,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
252,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
253,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
254,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
255,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
256,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
257,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
258,../inputs/paz/s6000-2hz.paz,20.0,1.84,SHE
259,../inputs/paz/s6000-2hz.paz,20.0,1.84,SHN
260,../inputs/paz/s6000-2hz.paz,20.0,1.84,SHZ
261,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
262,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
263,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
264,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
265,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
266,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
267,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
268,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
269,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
270,../inputs/paz/cmg-5t.paz,100.0,0.0,HNE
271,../inputs/paz/cmg-5t.paz,100.0,0.0,HNN
272,../inputs/paz/cmg-5t.paz,100.0,0.0,HNZ
273,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
274,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
275,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
276,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
277,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
278,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
279,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
280,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
281,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
282,../inputs/paz/cmg-5t.paz,100.0,0.0,HNE
283,../inputs/paz/cmg-5t.paz,100.0,0.0,HNN
284,../inputs/paz/cmg-5t.paz,100.0,0.0,HNZ
285,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
286,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
287,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
288,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
289,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
290,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
291,../inputs/paz/s6000-2hz.paz,200.0,1.84,EHE
292,../inputs/paz/s6000-2hz.paz,200.0,1.84,EHN
293,../inputs/paz/s6000-2hz.paz,200.0,1.84,EHZ
294,../inputs/paz/mark-L4C-3D.paz,100.0,0.99,EHE
